SEASON_YEAR,GAME_DATE,MATCHUP,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,MIN,FGM,FG3M,FTM,REB,AST,TOV,STL,BLK
2023-24,2023-11-24T00:00:00,BOS @ ORL,1630573,Sam Hauser,1610612738,Boston Celtics,25.286666666666665,8,2,0,2.4,0.0,-1,0,0
2023-24,2023-11-24T00:00:00,PHX @ MEM,1628966,Keita Bates-Diop,1610612756,Phoenix Suns,23.633333333333333,4,0,2,4.8,1.5,0,3,6
2023-24,2023-11-24T00:00:00,ORL vs. BOS,1629048,Goga Bitadze,1610612753,Orlando Magic,18.7,6,0,0,6.0,4.5,0,3,3
2023-24,2023-11-24T00:00:00,PHX @ MEM,1629006,Josh Okogie,1610612756,Phoenix Suns,27.933333333333334,4,1,0,8.4,4.5,0,3,0
2023-24,2023-11-24T00:00:00,BOS @ ORL,204001,Kristaps Porzingis,1610612738,Boston Celtics,22.295,8,1,0,4.8,3.0,-2,6,0
2023-24,2023-11-24T00:00:00,ORL vs. BOS,1630591,Jalen Suggs,1610612753,Orlando Magic,28.216666666666665,6,3,1,4.8,1.5,-3,3,0
2023-24,2023-11-24T00:00:00,PHX @ MEM,1628960,Grayson Allen,1610612756,Phoenix Suns,36.583333333333336,10,2,2,2.4,4.5,-1,0,3
2023-24,2023-11-24T00:00:00,MEM vs. PHX,201565,Derrick Rose,1610612763,Memphis Grizzlies,21.566666666666666,16,1,0,2.4,1.5,-1,3,0
2023-24,2023-11-24T00:00:00,MEM vs. PHX,1630217,Desmond Bane,1610612763,Memphis Grizzlies,34.005,6,0,0,6.0,15.0,-3,3,0
2023-24,2023-11-24T00:00:00,PHX @ MEM,1630692,Jordan Goodwin,1610612756,Phoenix Suns,20.25,12,1,1,6.0,3.0,-1,3,0
2023-24,2023-11-24T00:00:00,MEM vs. PHX,1628991,Jaren Jackson Jr.,1610612763,Memphis Grizzlies,28.833333333333332,10,1,2,8.4,3.0,-3,3,0
2023-24,2023-11-24T00:00:00,MEM vs. PHX,1631223,David Roddy,1610612763,Memphis Grizzlies,27.366666666666667,10,2,2,4.8,0.0,-2,6,3
2023-24,2023-11-24T00:00:00,PHX @ MEM,201569,Eric Gordon,1610612756,Phoenix Suns,34.46666666666667,12,4,4,1.2,3.0,-2,0,0
2023-24,2023-11-24T00:00:00,BOS @ ORL,1628436,Luke Kornet,1610612738,Boston Celtics,24.713333333333335,10,0,2,7.199999999999999,1.5,-1,6,6
2023-24,2023-11-24T00:00:00,MEM vs. PHX,1630583,Santi Aldama,1610612763,Memphis Grizzlies,35.75,18,3,0,6.0,0.0,0,0,0
2023-24,2023-11-24T00:00:00,BOS @ ORL,1628401,Derrick White,1610612738,Boston Celtics,37.4,6,1,9,6.0,6.0,-3,3,3
2023-24,2023-11-24T00:00:00,ORL vs. BOS,1629021,Moritz Wagner,1610612753,Orlando Magic,23.75,18,1,8,3.5999999999999996,0.0,-1,0,0
2023-24,2023-11-24T00:00:00,PHX @ MEM,203994,Jusuf Nurkic,1610612756,Phoenix Suns,32.53333333333333,4,0,2,13.2,9.0,-2,6,6
2023-24,2023-11-24T00:00:00,BOS @ ORL,1627759,Jaylen Brown,1610612738,Boston Celtics,38.89833333333333,12,2,4,3.5999999999999996,3.0,-3,9,3
2023-24,2023-11-24T00:00:00,ORL vs. BOS,1630175,Cole Anthony,1610612753,Orlando Magic,28.516666666666666,12,2,2,3.5999999999999996,9.0,-3,6,3
2023-24,2023-11-24T00:00:00,ORL vs. BOS,1630532,Franz Wagner,1610612753,Orlando Magic,34.93666666666667,16,1,0,9.6,9.0,-3,0,3
2023-24,2023-11-24T00:00:00,ORL vs. BOS,1631094,Paolo Banchero,1610612753,Orlando Magic,34.53333333333333,20,2,1,8.4,7.5,-3,0,0
2023-24,2023-11-24T00:00:00,BOS @ ORL,1628369,Jayson Tatum,1610612738,Boston Celtics,38.931666666666665,14,0,12,6.0,4.5,-2,6,0
2023-24,2023-11-24T00:00:00,BOS @ ORL,1630205,Lamar Stevens,1610612738,Boston Celtics,0.535,0,0,0,0.0,0.0,0,0,0
